feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,ari,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_1.joblib,hog_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4356,H1,0.9278776297404382,0.14127048208582182,629.2178855317183,515433.3052920591
params/feature_set_1.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4868,H1,0.9268668586674822,0.14018557246958757,625.608818951424,522722.28587113897
params/feature_set_1.joblib,all_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4894,H1,0.9258566390389631,0.14158404027825813,634.0821379092807,524662.2490308463
params/feature_set_1.joblib,all_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",781,H1,0.9258566390389631,0.1491005685799669,673.3457316757743,494067.10407064634
params/feature_set_1.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",781,H1,0.9258566390389631,0.14764683253251554,664.2140052415897,492340.2634836021
params/feature_set_1.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",767,H1,0.9258566390389631,0.15016256014964585,677.2854737707833,487202.2178061562
params/feature_set_2.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",27682,H1,0.9147805652662473,0.08612906404742393,354.0610904976545,2838268.3483836064
params/feature_set_2.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2227,H1,0.9147805652662473,0.0918278599064471,374.5111581792074,2683280.9588683946
params/feature_set_2.joblib,hog_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",27648,H1,0.9147805652662473,0.08544890388925913,350.7197247594279,2835919.001372669
params/feature_set_2.joblib,hog_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2228,H1,0.9147805652662473,0.09111236203042482,370.9524770785623,2681235.5592774586
params/feature_set_2.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",31744,H1,0.9147805649214563,0.08537791117144651,349.2432948095846,2864360.3679398117
params/feature_set_2.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2231,H1,0.9147805649214563,0.091113549380011,369.38871869583454,2708141.3575884867
params/feature_set_2.joblib,all_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",31778,H1,0.9137769537814204,0.08597457787336765,352.55069546632194,2866711.109208265
params/feature_set_2.joblib,all_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2230,H1,0.9137769537814204,0.09173210515596336,372.910571933382,2710192.293164037
params/feature_set_2.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",496,H1,0.8987888635319724,0.20907903175691386,555.6836044589355,29026.445568720254
params/feature_set_2.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4130,H1,0.8987888635319724,0.20045943798190985,524.1890078187096,30770.7380236472
params/feature_set_4.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",90,H1,0.8977940659003028,0.41319155649993516,2855.8256151384585,3841.4275061241347
params/feature_set_4.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",23,H1,0.8977940659003028,0.43001518963785446,3121.1683956160755,3514.622150743191
params/feature_set_3.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",57,H1,0.8918368267190792,0.32701663285581073,1602.402531805675,6292.864196168382
params/feature_set_3.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",306,H1,0.8918368267190792,0.31577901124866276,1493.4937718415258,6751.883599149493
params/feature_set_3.joblib,lbp_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",18,H1,0.8721225799866853,0.5302681782579302,5980.907845427658,1244.4367464745599
params/feature_set_3.joblib,lbp_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",5,H1,0.8721225799866853,0.5607176919293855,6823.229197726028,1090.60419237668
params/feature_set_4.joblib,lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",26,H1,0.8565097689259137,0.4823126735949982,4676.590649934657,1857.597681298324
params/feature_set_4.joblib,lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",7,H1,0.8545680812482,0.5087800256215138,5236.773175627489,1658.6224682245615
params/feature_set_1.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",103,H1,0.847789455374345,0.23764444884570968,982.0733570267189,8631.934574305707
params/feature_set_1.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",538,H1,0.847789455374345,0.22936999457931032,921.6588931268844,9197.911913150398
params/feature_set_2.joblib,lbp_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",9,H1,0.8381526635289571,0.49697900054160055,5079.917419067937,2060.8345647913306
params/feature_set_2.joblib,lbp_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",34,H1,0.8371920079343752,0.47121664857164886,4538.636694158611,2306.8038255116567
params/feature_set_1.joblib,lbp_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",26,H1,0.8039159588226441,0.38822421146718267,3032.585197102979,1907.2540428650784
params/feature_set_1.joblib,lbp_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",10,H1,0.8039159588226441,0.40571284482538655,3274.530923483507,1765.9582652334486
params/feature_set_4.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",20,H1,0.7954686817635117,0.3485153615474701,1336.430419921875,1822.0560302734375
params/feature_set_4.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H1,0.7954686817635117,0.3403455317020416,1252.7342529296875,1943.9327392578125
params/feature_set_3.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",288,H1,0.3323240120747309,0.20339496433734894,544.0719604492188,5425.81884765625
params/feature_set_3.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",62,H1,0.3311149350133409,0.2097492516040802,576.3574829101562,5121.578125
params/feature_set_2.joblib,hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4096,H1,0.20486419096715544,0.1854991763830185,315.52618408203125,27658.896484375
params/feature_set_2.joblib,hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",519,H1,0.20486419096715544,0.19318720698356628,333.54803466796875,26164.087890625
params/feature_set_3.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",162,H1,0.19362096578856428,0.1969944525802179,732.5149545097194,171998.40161761668
params/feature_set_3.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1584,H1,0.19362096578856428,0.18536919759299286,689.4288171468589,182751.17816690073
params/feature_set_3.joblib,hog_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1296,H1,0.19131856691738303,0.19233005166743616,707.7421109924398,176781.12001044615
params/feature_set_3.joblib,hog_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",147,H1,0.19131856691738303,0.20392896610370792,751.9680658578758,166379.8446387946
params/feature_set_3.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1314,H1,0.1894865638752233,0.1924465635549222,708.9662786839824,179429.4592611852
params/feature_set_3.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",148,H1,0.1894865638752233,0.204178176389458,753.4218400869173,168837.89612690362
params/feature_set_3.joblib,all_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",163,H1,0.1894865638752233,0.19745067694392202,734.0158236874752,174495.41641607598
params/feature_set_3.joblib,all_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1602,H1,0.1894865638752233,0.18573382883270176,690.8564963683026,185400.28627644692
params/feature_set_1.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",512,H1,0.0601838517628339,0.3161557614803314,447.5131530761719,7156.95654296875
params/feature_set_1.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",110,H1,0.0601838517628339,0.32087022066116333,473.6882019042969,6761.12548828125
params/feature_set_6.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1176,H1,0.9533258667517571,0.10564806569173421,451.2750931863359,1236677.9931127238
params/feature_set_6.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1177,H1,0.9533258667517571,0.10585168052589904,452.3642507531444,1238562.7575081834
params/feature_set_6.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16226,H1,0.9512773406353467,0.10137724476495988,431.92054110316485,1311367.6750701172
params/feature_set_6.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16200,H1,0.9502539058689848,0.10024117336225298,426.2077885391133,1309417.676010046
params/feature_set_8.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21664,H1,0.9502539058689848,0.09321523033372878,392.7469919062656,1542290.0900597703
params/feature_set_8.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1457,H1,0.9502539058689848,0.09829160860635404,415.6641191001891,1457254.3396744228
params/feature_set_6.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1177,H1,0.9502539053370604,0.10703586257557521,458.4268437344236,1240334.8543594978
params/feature_set_6.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1176,H1,0.9502539043594697,0.1068711776351954,457.3506121131899,1238444.964900571
params/feature_set_6.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16290,H1,0.9502539043594697,0.10157698857612033,432.93805463558965,1313357.961216495
params/feature_set_6.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16264,H1,0.9492310202563863,0.10044448372280841,427.23582149629203,1311407.8580567986
params/feature_set_8.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21600,H1,0.9492310202563863,0.09303001762242821,391.82789396412556,1540300.127655668
params/feature_set_8.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1457,H1,0.9492310202563863,0.09809315330713204,414.67163356676264,1455443.3360909082
params/feature_set_8.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21626,H1,0.9471869010563927,0.09488341671065881,401.2305939041856,1541831.770366496
params/feature_set_8.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1455,H1,0.9471869010563927,0.100038762660172,424.6993845516887,1456626.966493895
params/feature_set_8.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21690,H1,0.9471869010563927,0.09506674470671267,402.13614722125425,1543821.9207363897
params/feature_set_8.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1456,H1,0.9471869010563927,0.10022719874327,425.6418936231443,1458562.0505061692
params/feature_set_5.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11706,H1,0.9410677579874062,0.10816406251685458,468.4307245151854,1016836.9769496582
params/feature_set_5.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1542,H1,0.9410677579874062,0.113990463158551,496.26369814917837,959805.4351116641
params/feature_set_5.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1543,H1,0.9400498292674845,0.11254739260000718,488.39417525879423,958086.685176166
params/feature_set_5.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11680,H1,0.9400498292674845,0.10678571681529857,461.05295578939723,1014905.3380091613
params/feature_set_5.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11616,H1,0.9400498292674845,0.10653493617632157,459.79302919645704,1012914.5415226219
params/feature_set_5.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1542,H1,0.9400498292674845,0.11228654127059075,487.0721541569255,956182.5303246271
params/feature_set_7.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H1,0.9359836168760356,0.11551644552070894,505.16442574012797,839643.7042159513
params/feature_set_7.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1265,H1,0.9359836168760356,0.12165931604054092,535.4791576715272,792107.2548944518
params/feature_set_7.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H1,0.9359836168760356,0.11576697116992302,506.5701945339333,841635.7140479787
